com.yandex.metrica.profile.Attribute,gender,['Gender'],
com.yandex.metrica.ecommerce.ECommerceProduct,getActualPrice,['Price'],
com.yandex.metrica.ecommerce.ECommerceProduct,setActualPrice,['Price'],
com.yandex.metrica.ecommerce.ECommerceProduct,getOriginalPrice,['Price'],
com.yandex.metrica.ecommerce.ECommerceProduct,setOriginalPrice,['Price'],
com.yandex.metrica.IReporter,setUserProfileID,['UserProfile'],Sets the ID of the user profile.   NOTE: The string value can contain up to 200 characters.
com.yandex.metrica.IReporter,reportUserProfile,['UserProfile'],
com.yandex.metrica.profile.UserProfile,getUserProfileUpdates,['UserProfile'],
com.yandex.metrica.profile.com.yandex.metrica.impl.profile.UserProfileUpdatePatcher>,getUserProfileUpdatePatcher,['UserProfile'],
com.yandex.metrica.YandexMetrica,setLocation,['Location'],"Sets Location to be used as location for reports of AppMetrica. If location is set using this method, it will be used instead of auto collected location.  To switch back to auto collected location, pass null to setLocation(Location). NOTE: Permissions:  Manifest.permission.ACCESS_COARSE_LOCATION,  Manifest.permission.ACCESS_FINE_LOCATION  improve the quality of auto collected location."
com.yandex.metrica.YandexMetrica,setLocationTracking,['Location'],Sets whether AppMetrica should include location information within its reports. NOTE: Default value is  true
com.yandex.metrica.YandexMetrica,setLocationTracking,['Location'],Sets whether AppMetrica should include location information within its reports. NOTE: Default value is  true
com.yandex.metrica.YandexMetrica,requestAppMetricaDeviceID,"['Device', 'ID']",
com.yandex.metrica.YandexMetrica,setUserProfileID,['UserProfile'],Sets the ID of the user profile.   NOTE: The string value can contain up to 200 characters.
com.yandex.metrica.YandexMetrica,reportUserProfile,['UserProfile'],
